Tipo de organización comunal;Nombre;Fecha elección;Hora elección;Lugar elección;Comunicación fecha de la elección;Resultado elección;Rol reclamación;Reclamación;Fallo de la reclamación
Organización comunitaria funcional;CLUB DE TAEKWONDO LOS LAGOS;01/23/2025;19:00 HORAS;BODEGA ESTACION, COMUNA DE LOS LAGOS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_1.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_01.pdf;;;
Organización comunitaria funcional;COMITÉ DE AGUA POTABLE RURAL LAS MINAS DE PUNAHUE;01-02-2025;20:00 HORAS;SEDE SOCIAL JJVV PUNAHUE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_2.pdf;;;;
Organización comunitaria funcional;CLUB DEPORTIVO CHANCO;01-02-2025;10:00 A 16:00 HORAS;CLUB DEPORTIVO CHANCO;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_3.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_03.pdf;;;
Junta de vecinos;JUNTA DE VECINOS VILLA LOS CIRUELOS;09-02-2025;10:00 A 16:00 HORAS;SEDE VILLA LOS CIRUELOS;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_4.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_04.pdf;;;
Organización comunitaria funcional;CLUB DEPORTIVO SAUSALITO;15-02-2025;18:00 A 21:00 HORAS;PARCELA N°13 PANCUL, SEDE VECINAL;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_5.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_05.pdf;;;
Organización comunitaria funcional;AGRUPACIÓN DE BENEFICIARIOS Y AMIGOS DEL CENTRO DIURNO DE LA COMUNA DE LOS LAGOS;13-02-2025;15:00 A 17:00 HORAS;CENTRO DIURNO;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_6.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_06.pdf;;;
Organización comunitaria funcional;CLUB DEPORTIVO HURACÁN;10-02-2025;15:00 HORAS;SALA REUNIONES ESTADIO MUNICIPAL;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_7.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_07.pdf;;;
Organización comunitaria funcional;CLUB DEPORTIVO ATLETICO DE LOS LAGOS;09-02-2025;11:00 A 19:00 HORAS;SEDE SOCIAL CLUB DEPORTIVO ATLETICO;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_8.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_08.pdf;;;
Organización comunitaria funcional;COMITÉ DE AGUA POTABLE RURAL LAS MINAS DE PUNAHUE;09-02-2025;09:00 A 14:00 HORAS;SEDE SOCIAL JJVV PUNAHUE;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_9.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_09.pdf;;;
Junta de vecinos;JUNTA DE VECINOS VILLA SAN PEDRO;21-02-2025;18:00 A 20:00 HORAS;SEDE VILLA SAN PEDRO VOLCAN NEVADO S/N°;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_10.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_10.pdf;;;
Organización comunitaria funcional;CLUB DE PESCA Y CAZA RIO SAN PEDRO;14-02-2025;18:00 A 22:00 HORAS;QUINCHILCA KM 3;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_11.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_11.pdf;;;
Organización comunitaria funcional;CONJUNTO FOLCLORICO MAGISTERIO;22-02-2025;18:00 A 22:00 HORAS;CENTRO CULTURAL;https://www.muniloslagos.cl/documentos/2025/elecciones/comunicacion/eleccion_2025_12.pdf;https://www.muniloslagos.cl/documentos/2025/elecciones/resultado/resultado_2025_12.pdf;;;
